 timearr      xearr      yearr      zearr     vxearr     vyearr     vzearr
 2447892.5000000000000000     -46.9060753563862889       1.5076533399937000      20.7248272687117989       0.0175039042665208       0.0011414280518217       0.0005262088160630
 2447893.5000000000000000     -46.8887940569632704       1.5089128124584461      20.7253674035529194       0.0174436833874146       0.0014456759297030       0.0005248019492558
 2447894.5000000000000000     -46.8715750964285007       1.5104727769911961      20.7259074349478603       0.0173779075425855       0.0017484673466814       0.0005233646894188
 2447895.5000000000000000     -46.8544239172330492       1.5123317175730440      20.7264473293413012       0.0173066905910352       0.0020496648033370       0.0005219005589505
 2447896.5000000000000000     -46.8373458411226125       1.5144879933083111      20.7269870574810611       0.0172301596308842       0.0023491550183375       0.0005204153992263
 2447897.5000000000000000     -46.8203460588573392       1.5169398648291990      20.7275265967048696       0.0171484488022990       0.0026468531677849       0.0005189172709748
 2447898.5000000000000000     -46.8034296271437782       1.5196855243704970      20.7280659330226804       0.0170616909971981       0.0029427058100757       0.0005174161339008
 2447899.5000000000000000     -46.7866014749470693       1.5227231275429360      20.7286050627250305       0.0169700074677020       0.0032366910730064       0.0005159232089960
 2447900.5000000000000000     -46.7698664208115318       1.5260508231898520      20.7291439931708190       0.0168734965288446       0.0035288143737972       0.0005144499821605
 2447901.5000000000000000     -46.7532292008744577       1.5296667762830940      20.7296827424344414       0.0167722240052570       0.0038190987682642       0.0005130069526534
 2447902.5000000000000000     -46.7366945041880797       1.5335691788486330      20.7302213376861992       0.0166662186715698       0.0041075710530924       0.0005116024058205
 2447903.5000000000000000     -46.7202670091447700       1.5377562462005341      20.7307598125102999       0.0165554747543607       0.0043942469685999       0.0005102415657204
 2447904.5000000000000000     -46.7039514139949077       1.5422261996907400      20.7312982036792910       0.0164399609011230       0.0046791196699704       0.0005089263706910
 2447905.5000000000000000     -46.6877524563899726       1.5469772408385101      20.7318365480286211       0.0163196325102821       0.0049621542799402       0.0005076558699871
 2447906.5000000000000000     -46.6716749205619195       1.5520075232461390      20.7323748799494396       0.0161944435242595       0.0052432887242595       0.0005064270117044
 2447907.5000000000000000     -46.6557236342183970       1.5573151277199970      20.7329132297348586       0.0160643548965308       0.0055224388684817       0.0005052355146817
 2447908.5000000000000000     -46.6399034590757893       1.5628980435401840      20.7334516227337993       0.0159293388538742       0.0057995052424581       0.0005040765859326
 2447909.5000000000000000     -46.6242192790049828       1.5687541562955569      20.7339900790933491       0.0157893795980823       0.0060743791628159       0.0005029453757591
 2447910.5000000000000000     -46.6086759887160014       1.5748812410039581      20.7345286138214711       0.0156444717596242       0.0063469470653440       0.0005018371720306
 2447911.5000000000000000     -46.5932784845554835       1.5812769585047000      20.7350672369373008       0.0154946179169428       0.0066170927164179       0.0005007473939682
 2447912.5000000000000000     -46.5780316578089000       1.5879388530636640      20.7356059535463011       0.0153398262118856       0.0068846974833833       0.0004996714612969
 2447913.5000000000000000     -46.5629403900172534       1.5948643494436570      20.7361447637543783       0.0151801088107705       0.0071496390773716       0.0004986046149017
 2447914.5000000000000000     -46.5480095491747932       1.6020507481773600      20.7366836624075717       0.0150154817603126       0.0074117893179781       0.0004975417598308
