,timearr, xearr, yearr, zearr,vxearr,vyearr,vzearr
8315,2456207.5,26.210428813468656,13.144528232307,-4.234597485833695,0.0029116184565185,-0.0137388661053037,0.0002480451372582
8316,2456208.4999999995,26.21343059734808,13.13099864691542,-4.234424550307605,0.0032017012241992,-0.0136657362752396,0.0002477922853472
8317,2456209.4999999995,26.2167188075291,13.11754383028396,-4.234251476553713,0.0034909318262261,-0.01358753862026,0.0002475395614334
8318,2456210.5,26.22029256595356,13.104168823388353,-4.234078243831825,0.003779222582097,-0.0135042240340218,0.0002472838912657
8319,2456211.5,26.2241509027152,13.09087871929265,-4.233904835174301,0.0040664747734575,-0.0134157379500385,0.0002470209795474
8320,2456212.4999999995,26.22829274232955,13.077678668373299,-4.233731238804556,0.0043525730048744,-0.0133220213192614,0.0002467449278098
8321,2456213.5000000005,26.23271688378407,13.0645738808789,-4.233557449896174,0.0046373786651597,-0.0132230152157914,0.0002464479683713
8322,2456214.5,26.23742197448816,13.05156962254251,-4.23338347244612,0.0049207247636947,-0.0131186702279511,0.0002461205471355
8323,2456215.5,26.24240648116562,13.03867119848964,-4.233209320788377,0.0052024156080098,-0.0130089601931743,0.0002457519975973
8324,2456216.5,26.247668664293535,13.025883922455447,-4.233035020091557,0.0054822346334551,-0.0128938970484633,0.0002453318948979
8325,2456217.5,26.25320656488774,13.013213072947181,-4.232860605250139,0.0057599610107326,-0.0127735410209137,0.0002448518442994
8326,2456218.4999999995,26.259018010811335,13.000663843986953,-4.232686118006592,0.0060353910339217,-0.0126480005833953,0.0002443071153785
8327,2456219.4999999995,26.265100643797563,12.98824130186467,-4.232511602791536,0.0063083568367596,-0.0125174207340181,0.000243697479032
8328,2456220.5,26.271451960953755,12.97595035787156,-4.232337102263414,0.0065787358758961,-0.012381963854491,0.0002430269616381
8329,2456221.5,26.27806936017668,12.96379576086924,-4.232162653552016,0.0068464494608796,-0.0122417903865816,0.0002423027522441
8330,2456222.5,26.284950179836834,12.95178210674622,-4.231988285795564,0.0071114535745505,-0.0120970450195776,0.0002415337995011
8331,2456223.5000000005,26.29209172757703,12.939913858050861,-4.231814019027714,0.0073737271018932,-0.0119478501069639,0.0002407295763422
8332,2456224.5,26.29949129776914,12.928195367144522,-4.231639864114076,0.0076332613791448,-0.0117943047972344,0.0002398992340259
8333,2456225.5,26.3071461799382,12.916630898467849,-4.231465823339877,0.0078900526701111,-0.0116364872433208,0.0002390511344713
8334,2456226.5,26.31505366110692,12.905224647998867,-4.231291891326546,0.008144097413224,-0.0114744577302712,0.0002381926396917
8335,2456227.5,26.323211024402696,12.89398075964194,-4.231118056085386,0.0083953893329292,-0.0113082615758273,0.0002373300315816
8336,2456228.5,26.331615545320197,12.8829033389754,-4.230944300123573,0.0086439175134664,-0.0111379315152029,0.0002364684789555
8337,2456229.5000000005,26.3402644862906,12.87199646480702,-4.230770601575174,0.0088896648813792,-0.0109634897478165,0.0002356120188207
8338,2456230.5,26.349155089855167,12.8612641987302,-4.230596935343581,0.009132606931651,-0.0107849499310425,0.0002347635540279
8339,2456231.5,26.35828457072121,12.85071059263752,-4.2304232742309695,0.0093727107955359,-0.0106023192811191,0.0002339248832886
8340,2456232.5,26.36765010713152,12.840339694093402,-4.230249590015833,0.0096099348266092,-0.0104156007278676,0.0002330967745291
8341,2456233.5000000005,26.377248832123087,12.83015554961725,-4.230075854436214,0.0098442287950971,-0.0102247948904931,0.0002322790764804
