,geocentricTime,RA,DEC
3811,2437093.5,288.63411,-23.72873
3812,2437094.5,288.61486,-23.73185
3813,2437095.5,288.59538,-23.73499
3814,2437096.5,288.57568,-23.73813
3815,2437097.5,288.55577,-23.7413
3816,2437098.5,288.53566,-23.74447
3817,2437099.5,288.51534,-23.74766
3818,2437100.5,288.49483,-23.75086
3819,2437101.5,288.47413,-23.75406
3820,2437102.5,288.45325,-23.75728
3821,2437103.5,288.4322,-23.7605
3822,2437104.5,288.41099,-23.76373
3823,2437105.5,288.38962,-23.76697
3824,2437106.5,288.3681,-23.77021
3825,2437107.5,288.34643,-23.77345
3826,2437108.5,288.32464,-23.7767
3827,2437109.5,288.30272,-23.77995
3828,2437110.5,288.28068,-23.78319
3829,2437111.5,288.25854,-23.78644
3830,2437112.5,288.2363,-23.78968
3831,2437113.5,288.21396,-23.79293
3832,2437114.5,288.19154,-23.79616
3833,2437115.5,288.16905,-23.79939
3834,2437116.5,288.14649,-23.80262
3835,2437117.5,288.12387,-23.80584
3836,2437118.5,288.10121,-23.80905
3837,2437119.5,288.0785,-23.81225
3838,2437120.5,288.05576,-23.81545
3839,2437121.5,288.03299,-23.81863
3840,2437122.5,288.01021,-23.8218
3841,2437123.5,287.98742,-23.82496
3842,2437124.5,287.96462,-23.8281
3843,2437125.5,287.94183,-23.83123
3844,2437126.5,287.91905,-23.83435
3845,2437127.5,287.89628,-23.83745
3846,2437128.5,287.87355,-23.84053
3847,2437129.5,287.85085,-23.84359
3848,2437130.5,287.82819,-23.84664
3849,2437131.5,287.80559,-23.84967
3850,2437132.5,287.78304,-23.85267
3851,2437133.5,287.76056,-23.85566
3852,2437134.5,287.73816,-23.85862
3853,2437135.5,287.71584,-23.86156
3854,2437136.5,287.69361,-23.86447
3855,2437137.5,287.67149,-23.86736
3856,2437138.5,287.64947,-23.87023
3857,2437139.5,287.62757,-23.87306
3858,2437140.5,287.6058,-23.87587
3859,2437141.5,287.58416,-23.87866
3860,2437142.5,287.56267,-23.88141
3861,2437143.5,287.54132,-23.88413
3862,2437144.5,287.52014,-23.88682
3863,2437145.5,287.49912,-23.88948
3864,2437146.5,287.47827,-23.89211
3865,2437147.5,287.45761,-23.89471
3866,2437148.5,287.43714,-23.89727
3867,2437149.5,287.41686,-23.8998
3868,2437150.5,287.39678,-23.90229
3869,2437151.5,287.37692,-23.90475
3870,2437152.5,287.35727,-23.90718
3871,2437153.5,287.33785,-23.90957
3872,2437154.5,287.31865,-23.91192
3873,2437155.5,287.29969,-23.91424
3874,2437156.5,287.28097,-23.91651
3875,2437157.5,287.2625,-23.91875
3876,2437158.5,287.24429,-23.92095
3877,2437159.5,287.22633,-23.92311
3878,2437160.5,287.20865,-23.92523
3879,2437161.5,287.19124,-23.92731
3880,2437162.5,287.17412,-23.92935
3881,2437163.5,287.15728,-23.93135
3882,2437164.5,287.14074,-23.9333
3883,2437165.5,287.1245,-23.93521
3884,2437166.5,287.10858,-23.93708
3885,2437167.5,287.09297,-23.9389
3886,2437168.5,287.07768,-23.94068
3887,2437169.5,287.06271,-23.94242
3888,2437170.5,287.04809,-23.94411
3889,2437171.5,287.0338,-23.94575
3890,2437172.5,287.01986,-23.94735
3891,2437173.5,287.00627,-23.9489
3892,2437174.5,286.99304,-23.95041
3893,2437175.5,286.98017,-23.95187
3894,2437176.5,286.96766,-23.95328
3895,2437177.5,286.95553,-23.95465
3896,2437178.5,286.94377,-23.95597
3897,2437179.5,286.93239,-23.95724
3898,2437180.5,286.92139,-23.95846
3899,2437181.5,286.91078,-23.95964
3900,2437182.5,286.90056,-23.96077
3901,2437183.5,286.89074,-23.96185
3902,2437184.5,286.88131,-23.96288
3903,2437185.5,286.87228,-23.96386
3904,2437186.5,286.86366,-23.9648
3905,2437187.5,286.85545,-23.96568
3906,2437188.5,286.84765,-23.96652
3907,2437189.5,286.84027,-23.96731
3908,2437190.5,286.8333,-23.96804
3909,2437191.5,286.82677,-23.96873
3910,2437192.5,286.82065,-23.96936
3911,2437193.5,286.81498,-23.96995
3912,2437194.5,286.80973,-23.97049
3913,2437195.5,286.80492,-23.97097
3914,2437196.5,286.80055,-23.97141
3915,2437197.5,286.79663,-23.97179
3916,2437198.5,286.79315,-23.97213
3917,2437199.5,286.79012,-23.97241
3918,2437200.5,286.78754,-23.97264
3919,2437201.5,286.78541,-23.97283
3920,2437202.5,286.78374,-23.97296
3921,2437203.5,286.78252,-23.97304
3922,2437204.5,286.78175,-23.97307
3923,2437205.5,286.78145,-23.97306
3924,2437206.5,286.7816,-23.97299
3925,2437207.5,286.7822,-23.97287
3926,2437208.5,286.78327,-23.97271
3927,2437209.5,286.78479,-23.97249
3928,2437210.5,286.78677,-23.97222
