,kboTIME,x,y,z
0,2447892.3044920205,30.2155880854883,-14.68443703771856,-4.157691284781505
1,2447893.3044153447,30.23356379390383,-14.67799762612007,-4.157865886700791
2,2447894.304339712,30.25147681793347,-14.67125762294095,-4.158040506730595
3,2447895.3042651447,30.2693217154093,-14.66421854425194,-4.158215178408517
4,2447896.304191665,30.28709316486908,-14.65688203099647,-4.158389930972547
5,2447897.304119293,30.30478597583664,-14.64924982258605,-4.158564787074346
6,2447898.3040480493,30.32239509188982,-14.64132372682533,-4.158739760696577
7,2447899.3039779523,30.33991558434831,-14.63310558813855,-4.158914855543927
8,2447900.3039090214,30.35734263495314,-14.62459725771234,-4.159090064254246
9,2447901.303841274,30.37467150785248,-14.6158005705994,-4.159265368750558
10,2447902.3037747294,30.39189751427952,-14.60671733479266,-4.159440741860144
11,2447903.3037094045,30.40901597612745,-14.59734933499148,-4.159616149996762
12,2447904.303645318,30.42602219543095,-14.5876983498521,-4.15979155638696
13,2447905.3035824886,30.44291143482296,-14.57776617785867,-4.159966924196354
14,2447906.3035209347,30.4596789103551,-14.5675546654079,-4.160142219037607
15,2447907.303460675,30.47631979460264,-14.55706573168812,-4.160317410624462
16,2447908.3034017277,30.49282922613169,-14.54630138740967,-4.160492473617834
17,2447909.303344112,30.50920232135331,-14.53526374696968,-4.160667387883355
18,2447910.3032878456,30.52543418583884,-14.52395503533182,-4.160842138428353
19,2447911.303232947,30.54151992352245,-14.5123775916337,-4.16101671525142
20,2447912.3031794336,30.55745464339838,-14.50053387158174,-4.161191113266994
21,2447913.303127323,30.5732334642043,-14.48842645038079,-4.161365332391149
22,2447914.3030766323,30.58885151822369,-14.4760580274611,-4.161539377801877
23,2447915.303027378,30.60430395581265,-14.46343143364471,-4.161713260315378
24,2447916.302979577,30.61958595254716,-14.45054964058573,-4.161886996747271
25,2447917.3029332445,30.63469272084883,-14.43741577130237,-4.162060610061368
26,2447918.3028883957,30.64961952736684,-14.42403310952275,-4.162234129071616
27,2447919.3028450455,30.66436171613108,-14.41040510474989,-4.16240758748792
28,2447920.3028032067,30.67891473571645,-14.3965353699141,-4.162581022206771
29,2447921.3027628926,30.69327416695683,-14.38242766956484,-4.162754470928408
30,2447922.3027241137,30.70743574691198,-14.36808589858,-4.162927969372115
31,2447923.302686881,30.7213953853081,-14.35351405356254,-4.163101548476033
32,2447924.3026512032,30.73514917130965,-14.33871620051792,-4.163275231960101
33,2447925.302617089,30.74869337040235,-14.32369644259836,-4.16344903452192
34,2447926.302584546,30.76202441254425,-14.30845889095054,-4.163622960797413
35,2447927.3025535815,30.77513887329515,-14.29300764072663,-4.163797005116877
36,2447928.3025242016,30.78803344969107,-14.27734675367945,-4.163971152040213
37,2447929.302496412,30.8007049327343,-14.26148024851181,-4.164145377631236
38,2447930.3024702184,30.81315017881634,-14.24541209989611,-4.16431965138483
39,2447931.3024456277,30.82536608299611,-14.22914624636005,-4.164493938633708
40,2447932.3024226455,30.83734955727294,-14.21268660593626,-4.164668203160038
41,2447933.3024012772,30.84909751635432,-14.19603709700546,-4.164842409679201
42,2447934.302381529,30.86060687192404,-14.17920166081796,-4.165016525894367
43,2447935.3023634073,30.87187453461297,-14.16218428224388,-4.165190523939896
44,2447936.302346917,30.88289742147754,-14.14498900632828,-4.165364381189505
45,2447937.3023320646,30.89367246624139,-14.12761994971378,-4.165538080540588
46,2447938.3023188547,30.90419662983011,-14.11008130735673,-4.16571161035997
47,2447939.3023072924,30.91446690950768,-14.09237735585904,-4.165884964287347
48,2447940.302297383,30.9244803458472,-14.07451245511678,-4.166058141059268
49,2447941.30228913,30.93423402762074,-14.05649104997666,-4.166231144461767
50,2447942.3022825373,30.94372509541955,-14.03831767333208,-4.166403983455799
51,2447943.302277609,30.95295074544652,-14.01999695163392,-4.166576672449171
52,2447944.3022743473,30.9619082354591,-14.00153361308225,-4.166749231607247
53,2447945.3022727547,30.97059489515654,-13.982932497695,-4.166921687003124
54,2447946.3022728325,30.97900814308788,-13.96419856700279,-4.167094070326142
55,2447947.3022745824,30.98714551097699,-13.94533690958409,-4.167266417840252
56,2447948.302278003,30.99500467400131,-13.92635273778288,-4.167438768376151
57,2447949.3022830943,31.00258348250157,-13.90725137175324,-4.167611160389419
58,2447950.3022898533,31.00987998825743,-13.88803820997814,-4.167783628465198
59,2447951.302298276,31.01689245854454,-13.86871868976718,-4.167956199934634
60,2447952.302308359,31.02361937426604,-13.8492982447819,-4.16812889230797
61,2447953.3023200957,31.03005941311394,-13.82978226735198,-4.168301711979917
62,2447954.3023334807,31.03621142247646,-13.81017608102874,-4.168474654269452
63,2447955.3023485076,31.04207438804324,-13.79048492515375,-4.168647704532821
64,2447956.302365169,31.04764740298504,-13.77071395023513,-4.168820839958252
65,2447957.302383458,31.05292964056732,-13.75086822159379,-4.1689940316903
66,2447958.3024033676,31.0579203313634,-13.73095272879587,-4.169167247042957
67,2447959.302424891,31.06261874536606,-13.71097239900743,-4.169340451657106
68,2447960.3024480212,31.06702417908501,-13.69093211291856,-4.169513611505295
69,2447961.302472751,31.07113594772625,-13.67083672202792,-4.169686694657081
70,2447962.302499074,31.07495338241435,-13.65069106597341,-4.16985967271985
71,2447963.3025269825,31.07847583202831,-13.63049998851597,-4.170032521890339
72,2447964.3025564696,31.08170266870195,-13.61026835095923,-4.170205223597131
73,2447965.302587528,31.08463329562176,-13.59000104226976,-4.170377764772772
74,2447966.30262015,31.08726715562487,-13.56970298582509,-4.170550137846124
75,2447967.3026543283,31.08960373930428,-13.54937914336287,-4.170722340575084
76,2447968.302690054,31.09164259178913,-13.52903451717677,-4.170894375841109
77,2447969.302727319,31.09338331796642,-13.50867415183623,-4.171066251504039
78,2447970.3027661145,31.09482558655348,-13.4883031367014,-4.171237980374099
79,2447971.302806431,31.09596913407942,-13.46792661026753,-4.171409580301077
80,2447972.3028482585,31.09681377046511,-13.44754976685751,-4.171581074307368
81,2447973.3028915874,31.09735938840965,-13.42717786527388,-4.171752490600275
82,2447974.302936406,31.09760597892375,-13.40681623760978,-4.171923862200323
83,2447975.302982703,31.09755365459221,-13.38647029460222,-4.172095225855188
84,2447976.3030304653,31.09720267994199,-13.36614552231653,-4.172266619947227
85,2447977.3030796796,31.09655350461603,-13.34584746487347,-4.172438081332388
86,2447978.303130331,31.09560679120704,-13.32558169077056,-4.172609641474591
87,2447979.3031824036,31.09436342822998,-13.30535374611337,-4.172781322694436
88,2447980.3032358806,31.09282452201114,-13.2851691041545,-4.17295313552869
89,2447981.3032907443,31.09099136840694,-13.26503312292851,-4.173125077894561
90,2447982.303346977,31.08886541213225,-13.24495101954801,-4.173297136109476
91,2447983.303404561,31.08644820406032,-13.22492786309973,-4.173469287229404
92,2447984.3034634767,31.08374136460228,-13.20496858228202,-4.17364150194171
93,2447985.303523707,31.08074655678728,-13.18507798154863,-4.173813747382461
94,2447986.3035852346,31.07746546884457,-13.16526076027536,-4.17398598953894
95,2447987.3036480406,31.07389980419675,-13.1455215315817,-4.174158195153509
96,2447988.303712108,31.07005127654624,-13.12586483941246,-4.174330333185604
97,2447989.303777419,31.06592160834282,-13.10629517367222,-4.174502375926284
98,2447990.303843956,31.06151253166231,-13.08681698362971,-4.174674299840134
99,2447991.3039117013,31.05682579103415,-13.06743468976193,-4.174846086174312
100,2447992.303980638,31.05186314793808,-13.04815269400326,-4.175017721350749
101,2447993.304050748,31.0466263866246,-13.02897538823074,-4.175189197153375
102,2447994.3041220135,31.0411173207534,-13.00990716086078,-4.175360510735534
103,2447995.304194417,31.03533780024097,-12.99095240164741,-4.17553166449271
104,2447996.30426794,31.02928971776305,-12.97211550507471,-4.175702665860912
105,2447997.304342564,31.02297501460002,-12.95340087301756,-4.175873527102872
106,2447998.3044182705,31.01639568592105,-12.93481291750774,-4.176044265127553
107,2447999.3044950403,31.00955378612721,-12.91635606440843,-4.176214901352573
108,2448000.304572854,31.00245143545571,-12.89803475849599,-4.176385461562714
109,2448001.304651692,30.99509082958101,-12.87985346977193,-4.176555975641777
110,2448002.304731533,30.98747425421767,-12.86181669967288,-4.176726476968367
111,2448003.304812357,30.97960410631056,-12.84392898422303,-4.176897001195324
112,2448004.304894141,30.97148292171425,-12.8261948894756,-4.177067584140572
113,2448005.304976863,30.96311340596221,-12.80861899389896,-4.177238258691508
114,2448006.305060499,30.95449846052519,-12.79120585429627,-4.177409051015667
115,2448007.305145024,30.94564119430248,-12.77395995732696,-4.177579976873209
116,2448008.3052304126,30.93654491217457,-12.75688566600109,-4.177751039129353
117,2448009.305316639,30.9272130800668,-12.73998717500753,-4.17792222733704
118,2448010.305403677,30.91764927521898,-12.72326848636993,-4.178093519513887
119,2448011.3054915,30.90785713515258,-12.70673340868787,-4.178264885428171
120,2448012.3055800833,30.89784031658715,-12.69038557468329,-4.178436290341
121,2448013.3056694004,30.88760246911521,-12.67422846779392,-4.178607698332131
122,2448014.3057594267,30.87714722248324,-12.65826544962198,-4.178779074789518
123,2448015.3058501375,30.86647818336803,-12.6424997835421,-4.178950388046389
124,2448016.3059415077,30.85559893735104,-12.62693465308831,-4.179121610361052
125,2448017.306033514,30.84451305299845,-12.61157317573855,-4.179292718477066
