,timearr, xearr, yearr, zearr,vxearr,vyearr,vzearr
11958,2459850.4999999995,-39.60679196995275,-21.56813419627072,23.67109381883769,0.0029512261725688,-0.0190783283668173,1.00767312725e-05
11959,2459851.5,-39.603714885406816,-21.5870202801695,23.67102619997836,0.0032495571893843,-0.0190510096961528,9.8337370763e-06
11960,2459852.4999999995,-39.60034310255602,-21.60587672850265,23.6709585229152,0.0035472999813788,-0.019018282779732,9.6045377539e-06
11961,2459853.5,-39.59667728499885,-21.62469821895061,23.67089082473817,0.003844290641285,-0.0189802178160845,9.3894905331e-06
11962,2459854.5,-39.59271825017802,-21.64347951067068,23.670823141539696,0.0041403844974808,-0.0189369069497259,9.186369922e-06
11963,2459855.5,-39.58846694717513,-21.662215463338786,23.67075550582668,0.0044354617570211,-0.0188884582249652,8.9904053368e-06
11964,2459856.4999999995,-39.58392442978837,-21.68090104943044,23.67068794407947,0.0047294312802766,-0.0188349881972019,8.7945280421e-06
11965,2459857.5,-39.57909182681532,-21.69953135859875,23.670620474656815,0.0050222323623539,-0.0187766135546959,8.589813062e-06
11966,2459858.5,-39.57397031169673,-21.71810159327374,23.67055310624363,0.005313834134163,-0.0187134419949688,8.3661247053e-06
11967,2459859.5,-39.56856107423054,-21.73660705499529,23.670485837047167,0.0056042319022225,-0.0186455629743098,8.1129673598e-06
11968,2459860.4999999995,-39.5628652977112,-21.75504312196688,23.67041865492325,0.005893439930201,-0.0185730396855151,7.8204821417e-06
11969,2459861.5,-39.5568841449459,-21.77340521998761,23.670351538508807,0.0061814810837107,-0.0184959041565602,7.4804358749e-06
11970,2459862.4999999995,-39.55061875552096,-21.79168879074576,23.670284459247366,0.0064683750756064,-0.0184141570533252,7.0869861557e-06
11971,2459863.5,-39.544070254442,-21.80988926245492,23.670217383985186,0.0067541279279089,-0.0183277724630302,6.6370376685e-06
11972,2459864.5,-39.53723976967798,-21.82800202724178,23.67015027768938,0.0070387250087881,-0.0182367062611915,6.1301329032e-06
11973,2459865.5,-39.53012845437983,-21.84602242768121,23.670083105861,0.0073221286802158,-0.0181409056011856,5.5679753277e-06
11974,2459866.4999999995,-39.52273750932266,-21.863945752356607,23.67001583636918,0.0076042799984558,-0.0180403171422873,4.9537790918e-06
11975,2459867.5,-39.51506820226425,-21.88176723837176,23.66994844063353,0.0078851028778252,-0.0179348925883365,4.2916410412e-06
11976,2459868.5,-39.50712188265729,-21.899482077900167,23.66988089424866,0.0081645089465453,-0.017824591261725,3.5860655074e-06
11977,2459869.5,-39.49889999175041,-21.91708542603072,23.66981317723379,0.0084424017388753,-0.0177093802541737,2.8416916187e-06
11978,2459870.5,-39.49040406917054,-21.934572407917976,23.66974527410838,0.008718679458243,-0.0175892330416851,2.0632125744e-06
11979,2459871.5,-39.481635757589366,-21.95193812416171,23.66967717396604,0.0089932360302401,-0.0174641274710851,1.2554443895e-06
11980,2459872.4999999995,-39.472596807190286,-21.96917765420054,23.669608870669016,0.0092659604727559,-0.0173340439289211,4.234884588e-07
11981,2459873.5,-39.46328908151721,-21.98628605827315,23.669540363225856,0.0095367348177378,-0.0171989644257242,-4.270758788e-07
11982,2459874.5,-39.45371456594575,-22.003258379212767,23.66947165634553,0.0098054310466441,-0.0170588732895304,-1.2900445622e-06
