,kboTIME,x,y,z
1047,2448939.1992191407,-47.53701207840163,-0.4782230899293623,21.26460605951438
1048,2448940.199290845,-47.52306091520397,-0.4909656713715028,21.26509659682238
1049,2448941.199363524,-47.5089231733221,-0.5034718015946518,21.26558713398713
1050,2448942.199437158,-47.49460257811679,-0.5157380571571011,21.26607770729774
1051,2448943.199511729,-47.48010294504267,-0.5277609834179906,21.26656834930909
1052,2448944.199587216,-47.46542820580287,-0.5395371046937957,21.26705908644418
1053,2448945.1996635995,-47.45058243137743,-0.551062941974097,21.26754993697339
1054,2448946.1997408574,-47.43556985000384,-0.562335037283657,21.26804090953613
1055,2448947.199818968,-47.42039485815715,-0.5733499834396875,21.26853200236873
1056,2448948.199897908,-47.40506202254697,-0.5841044571664564,21.26902320339519
1057,2448949.1999776536,-47.38957607170214,-0.5945952523482105,21.26951449127038
1058,2448950.200058181,-47.37394187723108,-0.6048193092494489,21.27000583731476
1059,2448951.2001394634,-47.35816442704322,-0.6147737356427909,21.27049720807969
1060,2448952.2002214766,-47.34224879474737,-0.6244558173524267,21.2709885681266
1061,2448953.2003041934,-47.32620011009166,-0.6338630182503203,21.27147988257648
1062,2448954.2003875887,-47.31002353434886,-0.6429929721127086,21.27197111910358
1063,2448955.2004716354,-47.29372424254841,-0.65184346999603,21.27246224924678
1064,2448956.200556307,-47.27730741238377,-0.6604124466865887,21.27295324909904
1065,2448957.200641578,-47.26077821820476,-0.6686979687485943,21.27344409955235
1066,2448958.2007274213,-47.24414182793313,-0.6766982253777566,21.27393478631015
1067,2448959.2008138113,-47.22740340082147,-0.6844115221097854,21.27442529985774
1068,2448960.2009007204,-47.21056808441498,-0.6918362765942068,21.27491563552911
1069,2448961.2009881237,-47.19364100966949,-0.6989710150870255,21.27540579374873
1070,2448962.201075994,-47.17662728387477,-0.7058143679556156,21.27589578045706
1071,2448963.2011643057,-47.15953198187266,-0.7123650623273544,21.27638560765019
1072,2448964.2012530332,-47.14236013708216,-0.7186219101719318,21.27687529387217
1073,2448965.20134215,-47.12511673494811,-0.724583790829413,21.27736486440723
1074,2448966.2014316316,-47.10780671223868,-0.7302496284871883,21.27785435086511
1075,2448967.201521452,-47.09043496550763,-0.7356183672535507,21.27834378989164
1076,2448968.2016115864,-47.07300637045668,-0.7406889485764822,21.27883322090992
1077,2448969.20170201,-47.05552581098364,-0.7454602966502911,21.27932268308009
1078,2448970.201792696,-47.0379982134871,-0.7499313162280841,21.27981221194414
1079,2448971.2018836197,-47.02042858014541,-0.7541009041381447,21.28030183634956
1080,2448972.201974754,-47.00282201538321,-0.757967972256769,21.28079157615296
1081,2448973.2020660727,-46.98518374212064,-0.7615314774232887,21.28128144095545
1082,2448974.202157547,-46.96751910720152,-0.7647904535065132,21.28177142986081
1083,2448975.2022491493,-46.94983357731175,-0.7677440419849627,21.28226153208741
1084,2448976.202340851,-46.93213272735243,-0.7703915188798992,21.28275172822422
1085,2448977.2024326217,-46.91442222307838,-0.7727323168798141,21.28324199194879
1086,2448978.202524432,-46.89670779953557,-0.7747660418780558,21.28373229205548
1087,2448979.2026162525,-46.87899523684818,-0.7764924832510595,21.28422259464181
1088,2448980.202708052,-46.86129033520332,-0.7779116174707125,21.28471286527727
1089,2448981.202799801,-46.84359889113188,-0.7790236052794974,21.2852030709652
1090,2448982.2028914685,-46.82592667704211,-0.779828783527106,21.28569318173296
1091,2448983.2029830255,-46.80827942531359,-0.7803276535140811,21.28618317175564
1092,2448984.2030744413,-46.79066281728133,-0.7805208679897645,21.2866730200125
1093,2448985.203165687,-46.77308247647383,-0.7804092187110959,21.28716271056001
1094,2448986.2032567332,-46.75554396479634,-0.7799936258247022,21.28765223255868
1095,2448987.203347551,-46.73805278007945,-0.7792751295308732,21.28814158020434
1096,2448988.203438112,-46.72061435349487,-0.7782548837220808,21.28863075269627
1097,2448989.2035283875,-46.70323404567515,-0.776934150646839,21.28911975433549
1098,2448990.2036183495,-46.68591714089596,-0.7753142951418794,21.28960859479136
1099,2448991.2037079707,-46.66866883941329,-0.7733967766037182,21.29009728950287
1100,2448992.2037972235,-46.65149424906615,-0.7711831367385066,21.29058586008697
1101,2448993.203886082,-46.63439837856951,-0.7686749815054089,21.29107433451223
1102,2448994.2039745194,-46.61738613628185,-0.7658739569546367,21.29156274669132
1103,2448995.2040625103,-46.6004623389162,-0.7627817211214734,21.29205113511874
1104,2448996.204150029,-46.58363173357522,-0.759399917362923,21.29253954032485
1105,2448997.204237051,-46.56689903288585,-0.7557301569783305,21.29302800127876
1106,2448998.20432355,-46.55026895770835,-0.7517740184611255,21.29351655134572
1107,2448999.204409502,-46.53374627767799,-0.7475330662656695,21.29400521472387
1108,2449000.2044948796,-46.51733583970444,-0.7430088853574428,21.29449400420249
1109,2449001.204579657,-46.50104257893904,-0.7382031228615762,21.29498292061667
1110,2449002.204663808,-46.48487151284176,-0.7331175275011176,21.29547195380847
1111,2449003.2047473043,-46.46882772331107,-0.727753980657298,21.29596108455655
